Fire_ID,Fire_Name,Year,NW_Cascadia,Fire_Regime,prp_forest,fire_area,log_fire_area,HS_area,HS_prop,HS_forest_area,HS_forest_prop,patch_area_mean,patch_area_AW_mean,patch_area_gt1_mean,patch_area_gt1_AW_mean,log_patch_area_AW_mean,log_patch_area_gt1_AW_mean,beta,psi,n_patches,n_patches_gte1,total_core,log_total_core,SDC,log_SDC
WA4754112335819850824,BEAVER,1985,1,High,0.9408688656476268,447.8820172513798,2.651163625594325,138.96,0.3102602798227705,127.89,0.2855439492410342,8.174117647058823,30.23895077720207,14.94,31.22855421686747,1.4805667180600974,1.4945518782368892,NA,NA,17,9,2.61,0.4329692908744057,0.00818407360408825,-2.087030473417887
OR4491112349019871018,ROCKHOUSE,1987,1,Mixed,0.9570078530547051,2027.7416780060255,3.307012627701605,414.9,0.20461186180677157,411.75,0.203058409493705,8.135294117647058,48.207904555314535,13.587,49.06152572311768,1.68311825448981,1.6907410498391355,0.5317756108504975,0.19815430452821944,51,30,16.2,1.212187604403958,0.007262615721987,-2.138906934530014
OR4555912215519911009,FALLS,1991,1,High,0.9843250159948816,562.2420982419517,2.7499233605700404,12.15,0.02160990797023428,12.15,0.02160990797023428,2.4299999999999997,3.4539999999999997,3.63,3.780743801652892,0.53832233323144,0.5775772488255783,NA,NA,5,3,0,-1,0.01534743457323282,-1.8139642093595905
WA4891212085119960728,ELBOW BASIN,1996,1,High,0.7408739106587848,1467.8344437947908,3.166677074516698,718.29,0.4893535528046375,546.57,0.3723648823684456,23.943,163.55728981330662,41.92411764705882,164.83318727112007,2.2136699055697675,2.2170446563760757,1.5536021985976487,-0.02689127475396047,30,17,124.38,2.0950995796456136,0.00408046970367473,-2.389289842308903
WA4850612144319980829,UNNAMED,1998,1,High,0.9901608325449384,475.2145758721352,2.6768897529406357,143.01,0.3009377389940988,139.77,0.2941197663044906,6.500454545454545,74.06127753303964,12.559090909090909,76.64581758957654,1.869591199217127,1.8844884612474628,1.7198290807385803,-0.00622789709442575,22,11,0.81,-0.04095860767890638,0.00975158690370878,-2.010924704563557
WA4878912112820030805,BIGBEAVER,2003,1,High,0.9660349495446714,731.18225465004,2.8640256427899367,328.77,0.4496416562480125,314.64,0.4303167890071315,25.29,131.77643306871065,32.751,132.28147568013188,2.11983774786517,2.121499031087172,2.1297681112696787,-0.11904216615847596,13,10,70.65,1.849726444196328,0.00412877703287823,-2.3841785697785407
WA4844512111120030815,MINERAL PARK,2003,1,High,0.8964449033780794,1218.1990260914554,3.085718247961925,215.64,0.17701540994649506,193.86,0.15913655802368545,6.161142857142857,33.43965776293823,14.554285714285715,35.349805653710256,1.5242618240173371,1.5483870304737035,0.13515504047702054,0.2528015831148707,35,14,9.63,0.988112840268352,0.00744542661040165,-2.1281104128566946
WA4897712095720040624,FREEZEOUT,2004,1,High,0.9144343804201196,467.76171347019374,2.6700246717076417,199.71,0.4269481538332994,195.39,0.41771268227674313,18.155454545454543,69.76078864353312,22.08,70.10486413043478,1.8436113816377937,1.8457481519426948,NA,NA,11,9,4.86,0.6954816764901974,0.00700382520734227,-2.1546647010286217
WA4750112329120060725,BEAR GULCH II,2006,1,High,0.9544184046441624,419.4386328287091,2.622668429113651,36.27,0.08647272130226495,36.27,0.08647272130226495,3.2972727272727274,8.153374689826302,4.975714285714286,8.463953488372093,0.9113374008650444,0.9275732681364264,NA,NA,11,7,0,-1,0.01220709983392146,-1.9133875036007313
OR4489612204920100818,BULL OF THE WOODS,2010,1,Mixed,0.987169347042798,1025.8540742219122,3.011085587610645,612,0.5965760778054019,606.33,0.5910489759080871,43.714285714285715,175.61170588235294,61.002,176.1796075538507,2.2445534616308502,2.2459556382453445,0.3138255004381125,0.1228403224996738,14,10,157.77,2.198299608967687,0.00374175133011078,-2.426925078286899
OR4477512179820100819,PYRAMID,2010,1,Mixed,0.8456977385548814,611.6715874157697,2.786518307675943,383.67,0.6272483598935078,339.84,0.5555922606047116,29.51307692307692,252.18335679099224,47.745,253.31038642789815,2.401716421284085,2.403652997433045,NA,NA,13,8,64.17,1.8080082999104,0.0044229741029524,-2.3542856034695996
OR4485612210620110826,MOTHER LODE,2011,1,Mixed,0.9825671089170008,1166.245496467364,3.066789979701481,603,0.5170437972335391,595.62,0.5107157985211287,27.40909090909091,510.4945880597014,66.47,514.5608169098841,2.707991142332299,2.711436712213008,NA,NA,22,9,114.93,2.0608111197913455,0.0044604058451238,-2.350625623736537
OR4542512164220110827,DOLLAR LAKE,2011,1,Mixed,0.9651836106428204,582.5175117559157,2.7653089857403677,316.34999999999997,0.5430738022731851,310.41,0.5328766839374725,35.15,167.2524921763869,45.11571428571428,167.53796238244513,2.22337259777253,2.224113229194947,NA,NA,9,7,86.85,1.9392695863387313,0.0036032496361327,-2.443305648552073
WA4769312310920110831,BIG HUMP,2011,1,High,0.9644839067702552,566.7841250041826,2.753417677638169,202.14,0.35664372215525325,187.65,0.3310784330782293,8.0856,68.77514692787177,11.721176470588237,69.76195121951221,1.8374315268682757,1.8436186191724495,1.0330067403813503,0.13364990644504396,25,17,7.2,0.8633228601204559,0.00778272935239742,-2.108868072057214
WA4612512155020120909,CASCADE CREEK,2012,1,Mixed,0.9471916281773844,430.3396544400797,2.633811366791415,187.29,0.4352143662979081,184.68,0.429149389545078,23.41125,160.11311388755405,37.206,161.19461538461536,2.2044269037853925,2.2073505303486836,NA,NA,8,5,39.06,1.5928426831311002,0.00421892732516992,-2.374797955668017
OR4519612218020140914,36 PIT,2014,1,High,0.9567602575336204,2362.750964792546,3.3734179491753338,685.8,0.29025488094984847,681.93,0.2886169597056433,14.908695652173911,106.8084094488189,30.60409090909091,108.78014035556744,2.02860544776219,2.0365496148359195,1.091035039487849,0.0543428323479973,46,22,74.97,1.8754664158663856,0.00579606574941527,-2.2368666966228297
WA4769812380320150615,PARADISE,2015,1,High,0.9985006313131312,1140.483293655701,3.0570889279061504,330.84000000000003,0.2900875460784057,330.84,0.29008754607840564,6.362307692307692,70.54668117519043,11.513571428571428,72.38582914572865,1.8484765874567124,1.8596535534045295,1.1563202055560258,0.11713496719385792,52,28,20.52,1.3142886609474975,0.00738576862807755,-2.1316043014945554
WA4868512125620150811,GOODELL,2015,1,High,0.90803208807438,2680.896785528353,3.4282800939760287,1260.45,0.4701598386047487,1207.44,0.45038660440709094,21.3635593220339,213.06506176365585,41.649,214.93267377368005,2.3285122402949083,2.3323024413685127,1.471562947642611,-0.00569890981388001,59,30,295.92,2.471321054289375,0.00392722236440288,-2.405914507718865
WA4782412342420160726,HAYES TWO,2016,1,High,0.8660640238845579,1084.4217633332587,3.0351982248810576,464.22,0.42808067460126986,433.8,0.40002885839048485,16.579285714285714,220.3796742923614,56.8125,225.07873663366337,2.34317153686881,2.3523344687950507,NA,NA,28,8,55.53,1.745309059940828,0.00522065555170535,-2.2822749597156293
OR4470812185620170724,WHITEWATER,2017,1,Mixed,0.979429392524248,4758.449157262053,3.677465433353583,2104.4700000000003,0.4422596376359906,2066.58,0.4342969593036657,19.131545454545456,1271.254688021212,37.755818181818185,1288.3261279417502,3.1042325674867413,3.1100258146054016,1.4847362860337592,0.03629276662691596,110,55,885.87,2.947419016407321,0.00237531777738925,-2.624278280887713
OR4474912191520170811,SRZ LITTLE DEVIL,2017,1,Mixed,0.9946916320818454,932.4985014175792,2.969648142543354,231.39,0.24813980896295507,230.49,0.24717465995882068,5.78475,55.57781796966161,15.66642857142857,58.59701682396389,1.7449014920214594,1.767875506634654,0.8936203545558277,0.12113003638246368,40,14,4.95,0.7032913781186614,0.00826231378091627,-2.0828983156856515
WA4695112137420170812,NORSE PEAK,2017,1,Mixed,0.9037853720633175,8922.032530241422,3.9504638023710306,4823.91,0.5406738860959375,4681.98,0.5247660759059471,58.11939759036144,3132.8917403309765,145.56272727272727,3146.1553780001123,3.495945387735453,3.4977801671562223,1.8329659110046912,-0.04324165359575005,83,33,2212.38,3.344879353526294,0.00227541590323038,-2.642939210888374
OR4563012190420170902,EAGLE CREEK,2017,1,High,0.9785360609663328,17665.91837020117,4.2471362193391355,9061.11,0.5129147440918927,8968.23,0.5076571629090956,38.394533898305085,4965.797782357791,84.89292452830189,5000.261252287843,3.6959890302015745,3.6989926958286024,1.3659128761335018,0.03427100682411096,236,106,4212.63,3.6245636254530527,0.00208354106824242,-2.681197934834596
WA4716312143620170905,SAWMILL CREEK,2017,1,Mixed,0.9770574615870344,427.3783611538731,2.630812529364382,212.94,0.49824703203289505,207.81,0.4862436166373435,30.42,161.21046491969568,70.64999999999999,161.96166878980893,2.207393230455178,2.209412242920232,NA,NA,7,3,49.5,1.6954816764901974,0.00416923255090267,-2.379943880177833
WA4757812313020180804,MAPLE,2018,1,High,0.9913452492944496,1435.25449978282,3.1569289171336545,351.27,0.24474405065662816,348.93,0.24311367778522863,6.505,25.96572636433513,13.6116,26.78736577624967,1.414400476039886,1.4279300079311672,0.43476699952682984,0.1934731792397212,54,25,26.19,1.4197905861063629,0.00655776338597135,-2.183244257386207
OR4482112218820200816,BEACHIE CREEK,2020,1,High,0.9521038690346952,78760.92705822526,4.8963108193744365,36156.87,0.4590711581298486,35624.43,0.4523109532936817,31.912506619594,14454.10162101144,63.787619893428065,14552.480332533887,4.159991103743643,4.1629370210146215,1.3434279328820122,0.05692508289236159,1133,563,16212.06,4.209840881201793,0.00179564661976872,-2.745779127682575
OR4504912206220200908,RIVERSIDE,2020,1,High,0.9797914936624116,55920.19810741227,4.747568701307074,27192.78,0.48627832018348266,26845.47,0.48006750527662406,38.95813753581662,14366.64735091447,78.1613583815029,14445.771664032056,4.157355431538733,4.159740745936524,1.3052784522441785,0.05652094764696144,698,346,12620.25,4.101071399358266,0.00194537913653959,-2.710995746080726
OR4501512390320200908,ECHO MTN COMPLEX,2020,1,High,0.8867497168742922,875.1962742106747,2.942105460162586,88.74000000000001,0.10139439873648134,83.25,0.09512152011282478,3.6975,21.094320486815416,10.035,23.246838565022426,1.324165539977223,1.3663638997153915,NA,NA,24,8,2.43,0.403120521175818,0.00943730348120927,-2.025152078850439
OR4472312167920200817,LIONSHEAD,2020,1,Mixed,0.9566444310228284,42219.78704495033,4.625516038411803,21207.33,0.5023078391518436,20866.14,0.49422655727240766,39.12791512915129,3652.690827459185,77.53301470588235,3673.186142402335,3.5626129140375884,3.5650429372126524,1.5818089764544832,0.01022059146580407,542,272,9443.97,3.9751591974347567,0.00226049013703882,-2.6457973835374333
WA4826412121020200816,DOWNEY CREEK,2020,1,Mixed,0.9578071182548794,941.5673698970136,2.9738513995813234,393.21,0.4176121779188337,383.13,0.4069066242619536,30.246923076923075,306.9245754177157,55.607142857142854,310.03930404624276,2.487031663736486,2.491416753345214,NA,NA,13,7,120.51,2.081383317462285,0.00339532689472559,-2.469118406437661
WA4592712198020200908,BIG HOLLOW,2020,1,High,0.9936242626620309,9810.897568517012,3.9917087414495014,2628,0.267865399842029,2617.29,0.26677375660294683,12.574162679425838,338.25341712328765,21.07829268292683,342.8602752803138,2.529242192646724,2.535117169495343,1.3094779491691464,0.05517271871097463,209,123,679.5,2.832253370197008,0.00384022440338143,-2.4156433969077904
MT4755711337219850629,CHARLOTTE PEAK,1985,0,High,0.90803324099723,2112.6509848578353,3.3248277564607545,1359.36,0.6434380357868124,1252.71,0.592956436713231,64.73142857142858,845.6518697033898,135.54,848.121,2.9271916134137097,2.92845781674203,1.9718393769997655,-0.09017803196381688,21,10,505.89,2.7041419338600874,0.00261644226890009,-2.582288843410358
ID4504211409719850629,LAKE MOUNTAIN,1985,0,Low,0.7477937586841413,2397.1762999556404,3.3796999753278985,1504.8,0.6277385605839029,1154.97,0.48180436291705897,65.42608695652174,1396.3268863636367,214.2257142857143,1401.185790421318,3.144987100468608,3.1464957244400433,NA,NA,23,7,383.49,2.5838672768056443,0.00330105592251881,-2.4813471183126414
ID4433111475519850630,EAST BASIN,1985,0,Low,0.6558067770458726,1514.642914784024,3.1803102576449773,861.3000000000001,0.5686488819200098,519.12,0.3427342477444741,37.447826086956525,218.4120752351097,71.37,219.6477238335435,2.3392766453102007,2.341726707115776,1.1949570552724955,0.00576186831777426,23,12,166.77,2.2223782659449554,0.00337424297456731,-2.471823647676215
MT4572011389719850708,GIBBONS PASS,1985,0,High,0.5831351351351352,415.7297593704641,2.618811113916324,308.52,0.742116706937673,173.34,0.416953552380968,77.13,182.0745682613769,77.13,182.0745682613769,2.260249288820327,2.260249288820327,NA,NA,4,4,51.93,1.7162538258960367,0.00358999654738885,-2.444905969095968
ID4622711494119850708,SHASTA,1985,0,Mixed,0.7322723253757737,508.7885443726972,2.7065373243940276,12.6,0.02476470852057994,8.28,0.01627395131352396,0.7411764705882353,1.1764285714285714,1.77,1.86864406779661,0.0705655634915163,0.2715265864977319,NA,NA,17,3,0,-1,0.02013435456545241,-1.6960622877429286
ID4512611554919850708,SAVAGE CREEK,1985,0,Mixed,0.7808019518068472,5680.309731733738,3.754372017245421,1671.84,0.29432197872240373,1272.78,0.22406876739299275,14.537739130434783,242.4865891472868,29.431607142857143,245.9609080980724,2.384687724709891,2.3908660878091608,1.1834529941230585,0.05845441482942635,115,56,301.23,2.47904237158663,0.00411007290279415,-2.3861504747175037
MT4685211393819850712,HELLGATE,1985,0,Mixed,0.7482264570872166,647.8206740738842,2.811454803650904,168.75,0.26048875368363744,151.92,0.23450934198292264,9.375,33.103632,13.8825,33.525948136142624,1.5198756454682982,1.5253810688345153,0.03707289107256406,0.27857528660700787,18,12,9.81,0.9960736544852752,0.00620087289907615,-2.2075471704101184
ID4543311548219850715,BOISE BAR,1985,0,Low,0.5181421095878562,2081.4285226815136,3.3183615015845564,194.4,0.0933973940885338,138.96,0.06676184095958156,3.294915254237288,20.025999999999996,8.481428571428571,21.80287518948964,1.3015942118293566,1.3385137686776891,0.7006887737850954,0.20855071668126943,59,21,3.78,0.5888317255942073,0.00740209617642911,-2.1306452763577544
ID4525211462119850715,GOAT,1985,0,Low,0.6431446433159201,3154.006154874864,3.4988625364962394,933.93,0.29610912412346063,600.84,0.19050057942066337,10.377,169.9619687771032,22.8555,173.61384524512698,2.2303517531545904,2.239584356058191,1.358738845964976,0.03939583448537991,90,40,138.78,2.1426397078324166,0.00416829059738721,-2.38004201129146
ID4636311442319850717,BIG FLAT CREEK,1985,0,High,0.616475793857366,691.6712775095962,2.8398997414469553,275.76,0.3986864988710973,141.21,0.20415767517256905,14.513684210526316,227.7707898172324,45.24,231.3885676392573,2.3574980277562716,2.3643418976847093,NA,NA,19,6,3.69,0.5786392099680724,0.00796015005639687,-2.0990787453212647
ID4540311601419850717,FRENCH CREEK,1985,0,Low,0.7395847013673044,6167.730815889794,3.790125411131626,517.95,0.08397740035372757,409.05,0.06632098776849553,3.385294117647059,16.06427280625543,6.896571428571429,17.194328859060402,1.2058610707914534,1.2353852288061824,1.0948365063251926,0.1498717614395106,153,70,0.63,-0.1366771398795441,0.01025731906444424,-1.98896613509773
CA4095612245219850718,DELTA,1985,0,Low,0.943661971830986,670.6283637652635,2.8264819176675715,444.6,0.6629603279881866,430.2,0.6414879287011198,88.92,440.29446558704456,221.76,441.3652597402598,2.643743226499468,2.644798146458475,NA,NA,5,2,256.77,2.409713385717299,0.00160810823354492,-2.7936847244622944
ID4537211447019850720,BUTTE,1985,0,Low,0.58736945398472,11557.344393656487,4.062858054874016,3626.28,0.3137641205872836,2484.81,0.21499835216157828,14.39,1422.1373364439592,29.499917355371903,1444.753865762336,3.1529415384329433,3.1597938651920665,1.351279631751749,0.05887877836183913,252,121,808.47,2.9077176238685984,0.00297449458249626,-2.5265868177271225
ID4627011451019850721,DEAD ELK,1985,0,High,0.6302872474747475,1141.261956257776,3.0573853403864533,544.41,0.47702457530883857,286.29,0.2508538889167492,17.0128125,227.39292279715656,38.39785714285714,230.27950276243095,2.3567769439138453,2.3622552830213905,1.7035615945832978,-0.03699976595797568,32,14,15.03,1.179838928023187,0.00690413431386,-2.160890768393536
CA4080812321419850726,TRELOAR COMPLEX,1985,0,Low,0.9186521999890954,1649.982636264646,3.2174793739023135,357.93,0.21692955558023852,303.93,0.1842019384446732,12.783214285714289,92.77298214734726,19.675,93.75742566709022,1.9674215170299536,1.9720056742507424,0.01036223123611024,0.27044262518859696,28,18,33.3,1.5237464668115646,0.00588065931333846,-2.230573980030533
CA4112412279219850727,WAGNER COMPLEX,1985,0,Low,0.8953364186543253,505.04007169552,2.7033258379717733,176.94,0.35034843751304173,166.41,0.3294986067963449,35.388,92.43924720244152,44.190000000000005,92.53319755600812,1.9658564000572136,1.9662975698075384,NA,NA,5,4,27.63,1.4429498695778618,0.00453318687951496,-2.3435963768889874
WA4882011967319850828,GOLD HILL,1985,0,Low,0.5519906664722182,616.7972756315135,2.79014244678607,6.75,0.01094362810388381,0.09,1.459150413851175e-4,0.6136363636363636,1.4292,2.79,2.79,0.15509300753040234,0.4456042032735976,NA,NA,11,1,0,-1,NA,NA
WA4845711860619850830,AIRPORT,1985,0,Mixed,0.9444444444444444,539.2468667457798,2.7317876303457993,265.05,0.4915188503542182,247.68,0.45930725846343246,29.45,213.70684889643465,43.92,214.94329918032787,2.3298184406959628,2.3323239106097193,NA,NA,9,6,32.58,1.5142820478603778,0.00490130837212264,-2.3096879724316395
CA4103912036619860101,DRY CREEK,1986,0,High,0.67090156220591,953.9877856105576,2.979542814247184,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1,NA,NA
OR4438011849619860802,UNNAMED,1986,0,Low,0.9249781277340332,411.4233085390091,2.614288892324973,65.61,0.15947078990975347,61.02,0.14831439720001763,4.100625,10.501604938271605,6.94,10.99893371757925,1.0212556764576244,1.0413505848839308,NA,NA,16,9,0.09,-0.721246399047171,0.01032248934808434,-1.986215556607349
